Gene,CNT38,CNT48,CNT56,IPD12,IPD13,IPD28
MAPK8,0.311441153,0.277115802,0.2809467,0.436383778,0.33165119,0.428320608
MAPK8IP1,16.856,19.6542,13.4601,21.6828,14.2548,24.6972
MAPK8IP2,16.1217,16.9713,13.8727,26.8532,13.2052,19.2654
MAPK8IP3,11.30313044,8.536673186,10.17781657,11.50460351,7.091766677,12.06842934
MAPK9,1.785082167,1.527671333,2.184951667,2.31257,1.613675333,2.0861125
MAPKAP1,3.808184667,3.658385,2.952226,4.831595,3.6283195,3.832745333
MAPKAPK2,13.899215,13.056985,12.530425,16.16514,13.98547,19.007055
MAPKAPK3,8.411855,6.506152233,6.417533667,8.748359333,8.418183,8.611664333
MAPKAPK5,12.58365,10.27299,10.87671,12.170165,10.53716,13.02915
MAPKAPK5-AS1,3.335191727,3.144406667,4.464513333,3.37258,2.598106667,3.975116667
MAPKBP1,1.46578263,1.184046423,1.499430072,1.488645676,1.056423171,1.66526427
MAPRE1,106.009,90.4596,56.2188,115.035,94.9256,105.027
MAPRE2,2.6876836,2.9939976,1.8607914,3.7296928,3.925468,3.263324023
MAPRE3,4.417225,5.2819,5.080375,5.498125,4.672575,5.03412
MAPT,0.17488,0.27476125,0.147654696,0.280805163,0.1550775,0.39909125
MARCKS,93.4437,145.941,76.7411,167.198,106.322,154.47
MARCKSL1,180.665,284.903,92.0537,165.774,151.355,276.509
MARCO,1.44017,1.79312,0.148614,3.74619,1.32189,0
MARF1,1.964330019,1.9796255,1.683267567,2.6455712,2.020041283,2.424648757
MARK1,1.473902848,1.523432621,2.06530225,2.135158838,1.952778493,2.99898172
MARK2,2.2255058,2.3711602,1.6929272,2.5458296,1.82736,2.6450856
MARK3,5.277276,5.669122,4.514172,6.6499536,5.208864,6.1024274
MARK4,4.538941,3.904029,3.51346,3.94297,3.318227,5.842726
MARS,180.656,127.33,125.106,211.003,155.903,114.853
MARS2,16.8203,11.4351,11.8391,17.5454,14.3364,11.4064
MARVELD1,31.5687,25.8916,16.4471,22.2705,21.252,9.78581
MARVELD2,0.1216325,0.1364265,0.0851025,0.1252315,0.0894825,0.0827605
MARVELD3,0.34717,0.434087,0.495413,0.346001667,0.233312,0.230625
MAS1,0,0,0,0,0,0
MAS1L,0,0,0,0,0,0
MASP1,0.206794,0.2234615,0.2377292,0.387027975,0.4477479,0.44711385
MASP2,1.343835,1.43305,1.924095,2.095755,0.78177,1.84269
MAST1,7.92628,6.7169,7.60369,8.7871,3.37978,7.09566
MAST2,4.034281575,4.09830525,3.69091575,5.073780125,3.9244075,3.9432935
MAST3,4.3293,2.77835,3.92328,4.09464,3.04152,4.55819
MAST4,0.292784571,0.272711143,0.217476429,0.3108259,0.229627043,0.305476
MASTL,2.049443333,1.948644333,2.186733514,2.3018875,2.139048334,1.9149705
MAT1A,0.0391455,0.0166977,0.0934138,0.0837238,0.0295429,0.0230044
MAT2A,230.273,188.204,278.928,297.511,178.563,196.311
MAT2B,21.6938,19.8542,19.8799,28.60155,23.64855,27.9801
MATK,0,0,0,0,0,0
MATN1,0.258024,0.147067,0.413835,0.663665,0.294983,0.106461
MATN2,0.260200333,0.245102001,0.101718337,0.131052333,0.454867333,0.274373669
MATN3,2.89067,0.723483,2.65299,3.19848,2.11692,2.55142
MATN4,0.059507,0.020306367,0.034080667,0.050909,0,0.027976033
MATR3,29.28480927,27.91647537,23.42012024,48.31611672,33.8395025,34.95007967
MAU2,14.8546,16.5684,12.832,20.9607,14.3516,18.2327
MAVS,3.266692867,2.925181,4.482686667,4.176055667,3.505876667,4.564289267
MAX,1.838985503,1.506092078,1.4325716,2.049250222,1.562413111,1.638533944
MAZ,30.96467001,35.79440214,24.909772,31.19837,25.4033,44.78827274
MB,0,0,0,0,0.018733067,0.029174033
MB21D2,2.00096,2.34928,1.66413,3.41098,2.97536,3.53931
MBD1,1.240372416,1.171389334,1.325634927,1.599938169,1.144487389,1.346315534
MBD2,4.428735,5.563915,4.9901715,5.10912,3.943775,5.514978
MBD3,30.192535,34.872915,17.15712,30.092725,25.05899,30.61503
MBD3L1,0,0,0,0,0,0
MBD3L2,0,0,0,0,0,1.38126
MBD3L3,0,0,0,0,0,0.184872
MBD3L4,0,0,0,0,0,0.184872
MBD3L5,0,0,0,0,0,0.184872
MBD4,4.171384,3.551498,4.340240011,5.204479334,4.027436,3.6591332
MBD5,2.70916,2.24726,2.36111,3.24069,2.46482,3.42328
MBD6,8.71946,11.7233,5.95448,9.70069,7.6072,11.6664
MBIP,4.6085,5.723442,3.918476667,9.839936667,5.795293333,3.942198667
MBL1P,1.13166,0.618312,0.989836,1.588,1.72218,0.926245
MBL2,0,0,0,0,0,0
MBLAC1,0.936835,0.883351,0.47065,0.843658,0.595388,1.50675
MBLAC2,4.58129,3.89527,3.3492,5.04666,4.76414,4.80824
